;snmae;dnmae;z;sname;dname;z
7733;Foothill ;Goleta Union ;0.1776878381;Webster ;Golden Valley Unified;0.4197373633
7734;Hollister ;Goleta Union ;0.9534222514;Sierra View ;Golden Valley Unified;-2.1812495831
7735;Isla Vista ;Goleta Union ;3.2203259397;El Camino ;Goleta Union ;0.5373603739
7736;Kellogg ;Goleta Union ;1.3982683349;Ellwood ;Goleta Union ;1.6345886021
7737;La Patera ;Goleta Union ;2.1625544356;Foothill ;Goleta Union ;1.0310919173
7738;Mountain View ;Goleta Union ;-0.2707839908;Hollister ;Goleta Union ;2.3417980137
7739;Brandon ;Goleta Union ;1.7963055658;Isla Vista ;Goleta Union ;4.9497242045
4251;La Gloria ;Gonzales Unified;1.2069170259;Kellogg ;Goleta Union ;3.9475134976
2085;Gorman ;Gorman ;-0.9905324172;La Patera ;Goleta Union ;1.0445973655
8304;Grant ;Grant ;0.5694178125;Brandon ;Goleta Union ;1.6972352117
4312;Margaret G. Scotten ;Grass Valley ;0.2590632476;La Gloria ;Gonzales Unified;-1.5120324198
4313;Grass Valley Charter;Grass Valley ;-1.5810274822;Gorman Learning Center;Gorman ;-2.0003326352
8568;Gravenstein ;Gravenstein Union ;0.1817193892;Gorman ;Gorman ;-1.7294296315
1447;Valle Verde ;Greenfield Union;1.2963244236;Grant ;Grant ;0.5126018797
1449;Horizon ;Greenfield Union;-1.0984713351;Margaret G. Scotten ;Grass Valley ;0.5658937549
1450;Granite Pointe ;Greenfield Union;0.0109326284;Grass Valley Charter;Grass Valley ;-1.5839077
1453;Plantation ;Greenfield Union;-0.6829472967;Gravenstein ;Gravenstein Union ;2.9588724303
1454;Planz ;Greenfield Union;-0.2410958519;Valle Verde ;Greenfield Union;0.0013155937
1455;W. A. Kendrick ;Greenfield Union;-1.2191113276;Horizon ;Greenfield Union;-1.0329277816
1456;Raffaello Palla ;Greenfield Union;-1.7771070069;Granite Pointe ;Greenfield Union;-1.2681427631
8371;Grenada ;Grenada ;-1.5208642948;Plantation ;Greenfield Union;-1.2554130522
443;Wilson ;Gridley Unified;-3.8573561013;Planz ;Greenfield Union;-2.5649620331
8571;Guerneville ;Guerneville ;-1.111205927;W. A. Kendrick ;Greenfield Union;0.9337450967
4087;Gustine ;Gustine Unified;0.9484369064;Raffaello Palla ;Greenfield Union;-2.454428149
3681;Cedarlane Academy;Hacienda la Puente Unified;-0.6161551434;Mary Chapa Academy;Greenfield Union ;-1.2506360426
3687;Baldwin Academy;Hacienda la Puente Unified;-1.312210921;Oak Avenue ;Greenfield Union ;-3.623095828
3688;Bixby ;Hacienda la Puente Unified;-0.7223243206;Cesar Chavez ;Greenfield Union ;-1.1705655943
3691;Fairgrove Academy;Hacienda la Puente Unified;-1.0829638798;Grenada ;Grenada ;-0.4423231054
3692;Grazide ;Hacienda la Puente Unified;-1.7057963104;Wilson ;Gridley Unified;-0.5989517678
3693;Kwis ;Hacienda la Puente Unified;-1.277789662;Mary Buren ;Guadalupe Union ;-3.0584370329
3694;Lassalette;Hacienda la Puente Unified;-0.8618546843;Guerneville ;Guerneville ;0.356469918
3695;Los Altos ;Hacienda la Puente Unified;-0.9841665462;Gustine ;Gustine Unified;-0.9464667722
3696;Los Molinos ;Hacienda la Puente Unified;-5.2084723805;Romero ;Gustine Unified;-1.0009911511
3697;Los Robles Academy;Hacienda la Puente Unified;-2.3688279266;Cedarlane Academy;Hacienda la Puente Unified;0.9761538159
3698;Mesa Robles;Hacienda la Puente Unified;-0.7871585021;Baldwin Academy;Hacienda la Puente Unified;0.1839298633
3702;Palm ;Hacienda la Puente Unified;-0.8011504031;Fairgrove Academy;Hacienda la Puente Unified;0.0875201492
3709;Grandview, College Preparatory Academy;Hacienda la Puente Unified;-0.6915460621;Grazide ;Hacienda la Puente Unified;1.834266394
3711;Wedgeworth ;Hacienda la Puente Unified;-1.6807265696;Los Altos ;Hacienda la Puente Unified;-1.4380797522
3712;Valinda School of Academics;Hacienda la Puente Unified;0.3589507993;Los Molinos ;Hacienda la Puente Unified;-1.1682316918
1146;Hamilton ;Hamilton Unified;-0.3939141551;Los Robles Academy;Hacienda la Puente Unified;1.8421124403
1627;Hamilton ;Hanford ;0.2935438285;Mesa Robles;Hacienda la Puente Unified;1.6646254232
1628;Lee Richmond ;Hanford ;2.8446434146;Grandview, College Preparatory Academy;Hacienda la Puente Unified;0.2720880515
1630;Monroe ;Hanford ;-0.0593656913;Wedgeworth ;Hacienda la Puente Unified;-0.9296109632
1633;George Washington ;Hanford ;-2.3466110792;Valinda School of Academics;Hacienda la Puente Unified;-1.7031358171
1635;Martin Luther King Jr. ;Hanford ;-0.9973174926;Hamilton ;Hanford ;0.6238172387
1636;Joseph M. Simas;Hanford ;1.1268010881;Jefferson Charter Academy;Hanford ;-0.6998455145
8307;Happy Valley Primary;Happy Valley Union ;-1.5800317659;Lee Richmond ;Hanford ;-1.4444217082
8573;Salmon Creek School - A Charter;Harmony Union ;0.0506889308;Monroe ;Hanford ;0.0987529112
8714;Hart-Ransom ;Hart-Ransom Union ;-1.4206421874;George Washington ;Hanford ;-0.5149227972
8715;Hart-Ransom Academic Charter;Hart-Ransom Union ;-1.119783994;Martin Luther King Jr. ;Hanford ;-2.0051778071
2088;Eucalyptus;Hawthorne;-1.9960921794;Joseph M. Simas;Hanford ;-1.662050757
2090;Jefferson;Hawthorne;-1.1126843656;Happy Valley Primary;Happy Valley Union ;0.4407550026
2091;Ramona;Hawthorne;-2.0669412141;Salmon Creek School - A Charter;Harmony Union ;-0.7343525282
2092;Washington;Hawthorne;-2.7076796448;Pathways Charter;Harmony Union ;-1.1710039673
2093;York;Hawthorne;-0.5215436455;Hart-Ransom ;Hart-Ransom Union ;-0.475406564
2095;Zela Davis;Hawthorne;0.224945688;Hart-Ransom Academic Charter;Hart-Ransom Union ;-0.366441177
2097;Kornblum;Hawthorne;-1.204421605;Eucalyptus;Hawthorne;-2.9092441626
110;Stonebrae ;Hayward Unified;2.9688664146;Jefferson;Hawthorne;-2.9779821443
112;Golden Oak Montessori of Hayward;Hayward Unified;0.2694628009;Ramona;Hawthorne;-0.7084133885
116;Bowman ;Hayward Unified;-2.9396460755;Washington;Hawthorne;-2.0252697042
117;Burbank ;Hayward Unified;-2.2004603122;York;Hawthorne;-0.2872580421
118;Cherryland ;Hayward Unified;-2.3659223626;Zela Davis;Hawthorne;-1.367795844
119;East Avenue ;Hayward Unified;1.2771156455;Kornblum;Hawthorne;-0.4652689409
120;Eldridge ;Hayward Unified;-1.1899695889;Stonebrae ;Hayward Unified;0.7437063653
121;Fairview ;Hayward Unified;1.4038330089;Golden Oak Montessori of Hayward;Hayward Unified;-2.1892925821
122;Glassbrook ;Hayward Unified;-0.8419999509;Knowledge Enlightens You (KEY) Academy;Hayward Unified;-0.9264823854
123;Harder ;Hayward Unified;-3.3003188846;Bowman ;Hayward Unified;-2.345154236
124;Longwood ;Hayward Unified;-0.9746603457;Burbank ;Hayward Unified;-0.3175533056
125;Lorin A. Eden ;Hayward Unified;-0.3312591611;Cherryland ;Hayward Unified;-0.9986810134
126;Palma Ceia ;Hayward Unified;-3.2525561242;East Avenue ;Hayward Unified;0.6268791036
127;Park ;Hayward Unified;-0.4164640019;Eldridge ;Hayward Unified;-2.2418538515
128;Ruus ;Hayward Unified;-1.0265086987;Fairview ;Hayward Unified;-4.7520531149
129;Schafer Park ;Hayward Unified;-2.0849512805;Glassbrook ;Hayward Unified;-0.3823200111
130;Southgate ;Hayward Unified;-0.5307637403;Harder ;Hayward Unified;-1.4522765484
131;Treeview ;Hayward Unified;-0.0026805834;Longwood ;Hayward Unified;-1.7174765628
136;Strobridge Elementary;Hayward Unified;-3.3533758927;Lorin A. Eden ;Hayward Unified;-0.1030862326
138;Eden Gardens ;Hayward Unified;0.116268993;Palma Ceia ;Hayward Unified;-1.8180668326
139;Tyrrell ;Hayward Unified;-0.5704296288;Park ;Hayward Unified;-3.2920082956
140;Faith Ringgold School of Arts and Scienc;Hayward Unified;-0.5750367864;Ruus ;Hayward Unified;-3.1052140833
8665;Healdsburg Charter;Healdsburg Unified;-2.6221862242;Schafer Park ;Hayward Unified;-4.3923311112
8667;Healdsburg ;Healdsburg Unified;-0.7370463595;Southgate ;Hayward Unified;-0.6701058737
6092;Helendale ;Helendale ;0.01057054;Treeview ;Hayward Unified;-0.0369607975
5182;McSweeny ;Hemet Unified;0.6409170331;Strobridge ;Hayward Unified;-2.146182646
5183;Harmony ;Hemet Unified;-1.2164924249;Eden Gardens ;Hayward Unified;-1.4283148059
5184;Cawston ;Hemet Unified;-1.6006043822;Tyrrell ;Hayward Unified;-5.618111879
5187;Hamilton ;Hemet Unified;3.2874950884;Faith Ringgold School of Arts and Science;Hayward Unified;-3.0241867571
5188;Family Tree Learning Center;Hemet Unified;-0.5754484204;Healdsburg Charter;Healdsburg Unified;-1.2075085566
5197;Cottonwood ;Hemet Unified;-0.0690417893;Healdsburg ;Healdsburg Unified;0.465703961
5198;Idyllwild;Hemet Unified;-0.8494794528;Heber ;Heber ;-2.0180710678
5199;Little Lake ;Hemet Unified;-0.0282039024;Empire Springs Charter;Helendale ;-2.9066374642
5200;Ramona ;Hemet Unified;1.1607263414;Helendale ;Helendale ;1.202726049
5201;Whittier ;Hemet Unified;-0.2655798391;McSweeny ;Hemet Unified;-0.1947196114
5202;Winchester ;Hemet Unified;-0.4963212443;Harmony ;Hemet Unified;0.0766198898
5204;Valle Vista ;Hemet Unified;1.3454228232;Cawston ;Hemet Unified;0.6202248162
5205;Fruitvale ;Hemet Unified;-0.7511332771;Hamilton ;Hemet Unified;-1.9195767607
5206;Bautista Creek ;Hemet Unified;-4.0495255155;Family Tree Learning Center;Hemet Unified;-2.0370277753
6359;Cypress School of the Arts;Hesperia Unified;-1.6928217599;Cottonwood ;Hemet Unified;0.1831562692
6360;Pathways to College;Hesperia Unified;-1.4831157411;Idyllwild;Hemet Unified;-1.4407026369
6361;Mission Crest ;Hesperia Unified;-2.981318009;Little Lake ;Hemet Unified;-1.5703851333
6365;LaVerne  Preparatory Academy;Hesperia Unified;-3.0164054727;Ramona ;Hemet Unified;-0.4534944449
6366;Krystal School of Science, Math & Techno;Hesperia Unified;-2.7172769172;Whittier ;Hemet Unified;-2.2202676075
6371;Joshua Circle ;Hesperia Unified;-1.0745666045;Winchester ;Hemet Unified;-1.8269198966
6372;Juniper ;Hesperia Unified;-2.2333006978;Valle Vista ;Hemet Unified;2.2559077219
6373;Eucalyptus ;Hesperia Unified;-0.4902848295;Fruitvale ;Hemet Unified;-0.9059113549
6375;Mesa Grande ;Hesperia Unified;1.6503793918;Bautista Creek ;Hemet Unified;-0.20932952
6376;Kingston ;Hesperia Unified;-2.4509662454;Jacob Wiens ;Hemet Unified;-1.9037593595
6377;Maple ;Hesperia Unified;-1.6461327727;Hermosa Valley ;Hermosa Beach City ;2.3569870452
6378;Cottonwood ;Hesperia Unified;-1.1860231838;Cypress School of the Arts;Hesperia Unified;0.1161100443
6379;Lime Street ;Hesperia Unified;-0.4277182487;Pathways to College;Hesperia Unified;-2.7829168132
6380;Hollyvale ;Hesperia Unified;0.4624950574;Mission Crest ;Hesperia Unified;-1.1505770239
6381;Carmel ;Hesperia Unified;-1.4887203186;LaVerne  Preparatory Academy;Hesperia Unified;-4.2587935948
6383;Topaz Preparatory Academy;Hesperia Unified;-0.8417931111;Krystal School of Science, Math & Technology;Hesperia Unified;0.5904349107
6384;Mesquite Trails ;Hesperia Unified;-2.0601168267;Joshua Circle ;Hesperia Unified;-0.5797397906
8717;Hickman ;Hickman Community Charter;0.1709521999;Juniper ;Hesperia Unified;-1.793124335
8718;Hickman Charter;Hickman Community Charter;-0.9074494389;Eucalyptus ;Hesperia Unified;-0.4346001271
4016;Elim ;Hilmar Unified;1.028457298;Mesa Grande ;Hesperia Unified;-0.03754736
5874;Hollister Dual Language Academy;Hollister;0.3143694071;Kingston ;Hesperia Unified;-2.2468916759
5876;Ladd Lane ;Hollister;1.0723369951;Maple ;Hesperia Unified;-1.8371987756
5878;Sunnyslope ;Hollister;-0.6088926341;Cottonwood ;Hesperia Unified;-0.1546346497
5880;Calaveras ;Hollister;-0.3020424672;Lime Street ;Hesperia Unified;-2.4764889851
5881;Cerra Vista ;Hollister;0.6142256633;Hollyvale ;Hesperia Unified;-1.9403786904
5883;Gabilan Hills;Hollister;-1.2775936096;Carmel ;Hesperia Unified;-1.3048853362
7744;Hope ;Hope ;4.3416446242;Topaz Preparatory Academy;Hesperia Unified;-1.1867868147
7745;Monte Vista ;Hope ;1.9229780402;Mesquite Trails ;Hesperia Unified;-2.6151418688
7746;Vieja Valley ;Hope ;2.2338973623;Hickman ;Hickman Community Charter;1.0145104098
9002;Hope ;Hope ;-1.8149898444;Hickman Charter;Hickman Community Charter;1.7772673856
4258;Howell Mountain ;Howell Mountain ;2.6640251645;Elim ;Hilmar Unified;0.5151040842
9212;Fred L. Williams ;Hueneme ;2.8260289261;Hollister Dual Language Academy;Hollister;-0.5683759672
9213;Hollywood Beach ;Hueneme ;-0.0515202591;Ladd Lane ;Hollister;0.3549296881
9214;Hueneme ;Hueneme ;2.7164224398;R. O. Hardin ;Hollister;-0.6623666834
9217;Richard Bard ;Hueneme ;0.2096546188;Sunnyslope ;Hollister;-0.9260642807
2103;Hughes-Elizabeth Lakes;Hughes-Elizabeth Lakes Union E;-2.0047229488;Calaveras ;Hollister;-2.031654339
8812;Fox Road ;Hughson Unified;0.539022077;Cerra Vista ;Hollister;-0.988867588
8815;Hughson ;Hughson Unified;0.0722856909;Gabilan Hills;Hollister;-0.5604617816
1150;Glen Paul;Humboldt County Office of Educ;-2.6716511116;Emmett S. Finley ;Holtville Unified;0.6809027132
4580;Agnes L. Smith ;Huntington Beach City Elementa;0.0388370222;Pine ;Holtville Unified;0.4004714391
4582;John H. Eader ;Huntington Beach City Elementa;-1.1477932405;Hope ;Hope ;5.3937849732
4583;John R. Peterson ;Huntington Beach City Elementa;-1.0554418889;Monte Vista ;Hope ;3.9680529867
4584;Joseph R. Perry ;Huntington Beach City Elementa;-0.3555196834;Vieja Valley ;Hope ;5.2183345602
4586;Ralph E. Hawes ;Huntington Beach City Elementa;-0.9968806086;Hope ;Hope ;-0.9887227005
4587;S. A. Moffett ;Huntington Beach City Elementa;-0.9414004797;Howell Mountain ;Howell Mountain ;1.717774819
1180;Hydesville ;Hydesville ;-1.5421558519;Ansgar Larsen ;Hueneme ;-2.9850846704
1239;Imperial County Special Education;Imperial County Office of Educ;-1.7892889048;Fred L. Williams ;Hueneme ;-0.8541686686
1291;Ben Hulse ;Imperial Unified;-1.5416667781;Hollywood Beach ;Hueneme ;1.2129881386
1293;T. L. Waggoner ;Imperial Unified;-0.1321156888;Hueneme ;Hueneme ;1.8857735813
2105;Wilder's Preparatory Academy Charter;Inglewood Unified;-4.3335918671;Julien Hathaway ;Hueneme ;-0.4185490683
2115;Bennett/Kew ;Inglewood Unified;-2.0556285494;Parkview ;Hueneme ;-1.6070891562
2119;Highland ;Inglewood Unified;-1.167116759;Richard Bard ;Hueneme ;0.1110227973
2120;Kelso (William H.) ;Inglewood Unified;-1.9768603441;Sunkist ;Hueneme ;-3.7838769417
2121;La Tijera;Inglewood Unified;-3.7326839903;Hughes-Elizabeth Lakes;Hughes-Elizabeth Lakes Union ;-0.3071597555
2123;Oak Street ;Inglewood Unified;-1.7454069506;Fox Road ;Hughson Unified;0.1120154049
2124;Parent (Frank D.) ;Inglewood Unified;-0.8441047362;Hughson ;Hughson Unified;-1.2980771072
4879;University Park ;Irvine Unified;-0.1263323548;Agnes L. Smith ;Huntington Beach City ;0.3614947822
4880;Turtle Rock ;Irvine Unified;-2.020565933;John H. Eader ;Huntington Beach City ;0.092003443
4882;Woodbury ;Irvine Unified;0.275996061;John R. Peterson ;Huntington Beach City ;2.8262909995
4883;Culverdale ;Irvine Unified;0.8840660354;Joseph R. Perry ;Huntington Beach City ;-0.1509455223
4884;College Park ;Irvine Unified;0.4699902969;Ralph E. Hawes ;Huntington Beach City ;-2.5873064678
4885;Greentree ;Irvine Unified;-0.8220211838;S. A. Moffett ;Huntington Beach City ;0.5064348219
4886;Vista Verde;Irvine Unified;1.1287798524;Huntington Seacliff ;Huntington Beach City ;-0.3392608659
4888;Deerfield ;Irvine Unified;0.6153940392;Hydesville ;Hydesville ;-0.639922252
4889;Stonegate ;Irvine Unified;-1.4964952882;Ben Hulse ;Imperial Unified;-1.4712715923
4890;Stone Creek ;Irvine Unified;-0.4962392963;T. L. Waggoner ;Imperial Unified;-0.150610219
4892;Santiago Hills ;Irvine Unified;-1.1288916127;Wilder's Preparatory Academy Charter;Inglewood Unified;-1.9535184643
4893;Eastshore ;Irvine Unified;0.6884499458;ICEF Inglewood  Charter Academy;Inglewood Unified;-0.4265481401
4894;Alderwood ;Irvine Unified;1.2212568179;Worthington ;Inglewood Unified;-1.7586129454
4895;Northwood ;Irvine Unified;1.8117241939;Centinela ;Inglewood Unified;-1.5518937103
4897;Brywood ;Irvine Unified;1.9228022312;Highland ;Inglewood Unified;-3.3197777373
4898;Meadow Park;Irvine Unified;-0.0212139631;Kelso (William H.) ;Inglewood Unified;-3.2658174966
4899;Springbrook ;Irvine Unified;-0.3002564147;La Tijera K-8 Academy of Excellence;Inglewood Unified;-3.9657369705
4900;Westpark ;Irvine Unified;0.1997618206;Lane (Warren) ;Inglewood Unified;-4.8391546627
4902;Canyon View ;Irvine Unified;0.2051118696;Oak Street ;Inglewood Unified;-4.4310822363
4903;Plaza Vista;Irvine Unified;0.4907135477;Parent (Frank D.) ;Inglewood Unified;-8.6339889385
4904;Oak Creek ;Irvine Unified;1.008835689;Payne (Beulah) ;Inglewood Unified;-5.6799186711
1642;Island ;Island Union ;0.8031894557;Cypress Village ;Irvine Unified;-0.3159089385
1182;Jacoby Creek Charter;Jacoby Creek ;-1.1911466603;University Park ;Irvine Unified;-1.3788907505
9172;Jamestown ;Jamestown ;-1.7459599902;Turtle Rock ;Irvine Unified;1.0446845915
6600;Jamul Primary;Jamul-Dulzura Union ;-1.0148024459;Woodbury ;Irvine Unified;0.2858852379
6602;Jamul Intermediate;Jamul-Dulzura Union ;-0.8977581679;Culverdale ;Irvine Unified;-0.667222512
6603;Greater San Diego Academy;Jamul-Dulzura Union ;-0.0795468944;College Park ;Irvine Unified;1.9244973124
1704;Janesville ;Janesville Union ;0.6735476297;Greentree ;Irvine Unified;0.2744810697
7245;Anthony C. Traina ;Jefferson ;-2.1728856089;Vista Verde;Irvine Unified;2.5784476631
7247;Monticello ;Jefferson ;-1.1315126611;Deerfield ;Irvine Unified;3.8001463474
7248;Tom Hawkins ;Jefferson ;0.3290979233;Stonegate ;Irvine Unified;-1.3900472811
7552;Daniel Webster ;Jefferson ;-0.8497335125;Stone Creek ;Irvine Unified;2.0830797592
7554;Franklin Delano Roosevelt ;Jefferson ;0.180760319;Santiago Hills ;Irvine Unified;1.2389067845
7555;Garden Village ;Jefferson ;0.0534095536;Eastshore ;Irvine Unified;2.3152226498
7556;George Washington ;Jefferson ;-0.1147486813;Alderwood ;Irvine Unified;1.5668063457
7557;John F. Kennedy ;Jefferson ;-0.8489062049;Northwood ;Irvine Unified;2.731448687
7558;Margaret Pauline Brown ;Jefferson ;-1.1686551684;Brywood ;Irvine Unified;4.6033945743
7559;Thomas Edison ;Jefferson ;0.5238938671;Meadow Park ;Irvine Unified;2.1170863141
7560;Marjorie H. Tobias ;Jefferson ;-1.8053854834;Springbrook ;Irvine Unified;1.1517867025
7561;Westlake ;Jefferson ;-0.1300664181;Westpark ;Irvine Unified;0.4305168919
7562;Woodrow Wilson ;Jefferson ;-0.1517624009;Canyon View ;Irvine Unified;-0.5555601217
7563;Susan B. Anthony ;Jefferson ;-1.5526699976;Plaza Vista;Irvine Unified;-0.0504671043
535;Rodeo Hills ;John Swett Unified;1.6589120331;Oak Creek ;Irvine Unified;1.3987044574
1706;Johnstonville ;Johnstonville ;1.4569879508;Island ;Island Union ;2.4781040549
6605;Julian Charter;Julian Union ;-0.1426735269;Jacoby Creek;Jacoby Creek ;-1.7981030015
6606;Julian ;Julian Union ;-0.208260208;Jamestown ;Jamestown ;-1.9549787376
8311;Junction ;Junction ;-0.047327501;Jamul Primary;Jamul-Dulzura Union ;0.3055977263
5214;Glen Avon ;Jurupa Unified;-0.3200245749;Jamul Intermediate;Jamul-Dulzura Union ;-1.089217961
5216;Mission Bell ;Jurupa Unified;-0.2329406745;Greater San Diego Academy;Jamul-Dulzura Union ;0.343108629
5217;Pacific Avenue ;Jurupa Unified;-0.9233798347;Janesville ;Janesville Union ;-1.171168474
5218;Pedley ;Jurupa Unified;-0.2622816884;Anthony C. Traina ;Jefferson ;-0.7036605437
5219;Rustic Lane ;Jurupa Unified;-0.8186287584;Monticello ;Jefferson ;-1.1494297426
5220;Troth Street ;Jurupa Unified;-2.2593262561;Tom Hawkins ;Jefferson ;2.4910218276
5221;Van Buren ;Jurupa Unified;-1.9853481206;Daniel Webster ;Jefferson ;0.1143379733
5222;West Riverside ;Jurupa Unified;-1.2259941965;Franklin Delano Roosevelt ;Jefferson ;0.056693433
5225;Sky Country ;Jurupa Unified;-2.186921552;Garden Village ;Jefferson ;-0.0607980595
5226;Indian Hills ;Jurupa Unified;-0.3185281166;George Washington ;Jefferson ;-0.0107199989
5227;Camino Real ;Jurupa Unified;-2.1173469446;John F. Kennedy ;Jefferson ;0.5100202917
5228;Sunnyslope ;Jurupa Unified;-1.3631986238;Margaret Pauline Brown ;Jefferson ;-2.1901484841
5229;Granite Hill ;Jurupa Unified;-0.9982786523;Thomas Edison ;Jefferson ;1.7485835498
5230;Stone Avenue ;Jurupa Unified;-0.0949041491;Marjorie H. Tobias ;Jefferson ;2.0822156069
5232;Peralta ;Jurupa Unified;2.9435137959;Westlake ;Jefferson ;-0.1198142149
1672;Kelseyville ;Kelseyville Unified;0.8474565459;Woodrow Wilson ;Jefferson ;0.3069428268
1674;Riviera ;Kelseyville Unified;-0.1017185782;Susan B. Anthony ;Jefferson ;0.6129031545
3873;Anthony G. Bacich ;Kentfield ;1.3231578293;Rodeo Hills ;John Swett Unified;-0.6614326589
2132;Alpine ;Keppel Union ;-3.2544898789;Johnstonville ;Johnstonville ;0.1832907646
2133;Antelope ;Keppel Union ;-1.8841619583;Harbor Springs Charter;Julian Union ;-5.1058222181
2134;Lake Los Angeles ;Keppel Union ;-3.874947602;Beacon Classical Academy  Charter;Julian Union ;-0.0366247171
2135;Daisy Gibson ;Keppel Union ;-1.8955459596;Julian Charter;Julian Union ;-3.9505592571
2136;Pearblossom ;Keppel Union ;2.7080615021;Julian ;Julian Union ;-0.0667742612
1084;Goldenrod ;Kerman Unified;0.5366299171;Junction ;Junction ;0.006191473
1088;Sun Empire ;Kerman Unified;-0.1558350903;Glen Avon ;Jurupa Unified;1.970487499
1089;Liberty ;Kerman Unified;1.5632638497;Pacific Avenue ;Jurupa Unified;-0.4308131618
1330;Kern County Special Education;Kern County Office of Educatio;-2.163007128;Pedley ;Jurupa Unified;0.5588497146
1480;Woodrow W. Wallace ;Kernville Union ;-1.3276331611;Troth Street ;Jurupa Unified;-3.4297471965
8722;Keyes to Learning Charter;Keyes Union;0.3609804456;Van Buren ;Jurupa Unified;-1.3696616317
4160;King City Arts Magnet;King City Union;-0.5103080629;Sky Country ;Jurupa Unified;-2.5415209244
4162;Santa Lucia ;King City Union;2.0698409101;Indian Hills ;Jurupa Unified;-0.3479271203
4163;Del Rey ;King City Union;-0.696216514;Camino Real ;Jurupa Unified;-1.2815147387
979;Thomas Law Reed ;Kings Canyon Joint Unified;1.1697054305;Sunnyslope ;Jurupa Unified;-0.692886571
986;Dunlap ;Kings Canyon Joint Unified;1.3453863225;Granite Hill ;Jurupa Unified;-1.0592407592
992;Riverview ;Kings Canyon Joint Unified;-0.0753912481;Stone Avenue ;Jurupa Unified;0.488361745
1610;Kings County Special Education;Kings County Office of Educati;1.5953702725;Peralta ;Jurupa Unified;0.0580686208
9004;Kings River ;Kings River Union ;0.6790385562;Kelseyville ;Kelseyville Unified;0.1693849997
1644;Kings River-Hardwick ;Kings River-Hardwick Union Ele;0.8353428982;Riviera ;Kelseyville Unified;0.3866094907
971;Ronald W. Reagan ;Kingsburg  Charter;-1.0638008283;Alpine ;Keppel Union ;-1.7336010387
972;Lincoln ;Kingsburg  Charter;1.2910352721;Antelope ;Keppel Union ;-1.5445497385
974;Kingsburg Community Charter Extension;Kingsburg  Charter;0.8323471269;Lake Los Angeles ;Keppel Union ;-2.2544150743
8919;Kirkwood ;Kirkwood ;-1.0852451593;Daisy Gibson ;Keppel Union ;-0.2712390013
1646;Kit Carson ;Kit Carson Union ;-0.8932448367;Pearblossom ;Keppel Union ;1.0315129763
8725;Knights Ferry ;Knights Ferry ;-0.2816775802;Goldenrod ;Kerman Unified;-0.5594218419
537;Knightsen ;Knightsen ;0.525450556;Sun Empire ;Kerman Unified;3.5735031142
1677;Burns Valley;Konocti Unified;-0.1250547502;Liberty ;Kerman Unified;1.9597353806
1678;East Lake;Konocti Unified;-0.9117482321;Grimmway Academy;Kern County Office of Education;-1.3569740745
1680;Lower Lake ;Konocti Unified;0.6880590662;Valley Oaks Charter;Kern County Office of Education;-4.1006199516
1681;Pomo;Konocti Unified;-2.2138688451;Kern County Special Education;Kern County Office of Education;-8.1719108771
4605;Ladera Palma ;La Habra City ;-0.2551497831;Woodrow W. Wallace ;Kernville Union ;-0.061693452
4606;Las Lomas ;La Habra City ;-0.0526900615;Keyes to Learning Charter;Keyes Union;0.8629037372
4607;Las Positas ;La Habra City ;0.6948568537;King City Arts Magnet;King City Union;-0.8766519302
4608;Sierra Vista ;La Habra City ;0.0887689059;Del Rey ;King City Union;-0.1230293643
4609;Walnut ;La Habra City ;2.8205412859;Thomas Law Reed ;Kings Canyon Joint Unified;0.4495423747
7579;Pescadero  and Middle;La Honda-Pescadero Unified;0.8937246065;Silas Bartsch;Kings Canyon Joint Unified;-0.1644869595
6621;Avondale ;La Mesa-Spring Valley;-1.9601222551;Dunlap ;Kings Canyon Joint Unified;-1.1920424728
6622;Bancroft ;La Mesa-Spring Valley;-0.0766674475;Riverview ;Kings Canyon Joint Unified;0.0251969545
6623;Casa de Oro ;La Mesa-Spring Valley;0.3867851132;Washington ;Kings Canyon Joint Unified;1.9212337146
6624;Fletcher Hills ;La Mesa-Spring Valley;1.1455849627;Great Western ;Kings Canyon Joint Unified;-0.1116909151
6625;Highlands ;La Mesa-Spring Valley;0.626362258;Kings River ;Kings River Union ;0.0988282824
6626;Kempton Street ;La Mesa-Spring Valley;0.2243022743;Kings River-Hardwick ;Kings River-Hardwick Union ;0.7706297201
6627;La Mesa Dale ;La Mesa-Spring Valley;-2.3372716487;Ronald W. Reagan ;Kingsburg  Charter;3.2813872359
6629;La Presa ;La Mesa-Spring Valley;-1.7357137968;Lincoln ;Kingsburg  Charter;1.1274186586
6630;Lemon Avenue ;La Mesa-Spring Valley;0.0872095522;Kingsburg Community Charter Extension;Kingsburg  Charter;-1.1374179807
6631;Maryland Avenue ;La Mesa-Spring Valley;0.087148317;Kirkwood ;Kirkwood ;-1.1250376131
6632;Murray Manor ;La Mesa-Spring Valley;-3.8985404472;Kit Carson ;Kit Carson Union ;-0.8205752383
6633;Northmont ;La Mesa-Spring Valley;-3.4738891253;Hoopa Valley ;Klamath-Trinity Joint Unified;-4.8282286492
6635;Rancho ;La Mesa-Spring Valley;0.5153484199;Knights Ferry ;Knights Ferry ;-0.4784252228
6636;Rolando ;La Mesa-Spring Valley;0.3549807009;Knightsen ;Knightsen ;1.5936873022
6639;Murdock ;La Mesa-Spring Valley;-1.6532509056;Burns Valley;Konocti Unified;-0.0464890536
