;snmae;dnmae;z;sname;dname;z
6428;Boulder Oaks ;Alpine Union ;-0.3262843401;Ynez ;Alhambra Unified;-1.290877208
5921;Alta Loma ;Alta Loma ;0.0822682579;Tiburcio Vasquez ;Alisal Union;-1.1062537681
5923;Carnelian ;Alta Loma ;-1.4895919668;Fremont ;Alisal Union;-3.9321434868
5924;Jasper ;Alta Loma ;-2.624592537;Frank Paul ;Alisal Union;-3.0349729557
5925;Floyd M. Stork ;Alta Loma ;0.4566578872;Virginia Rocca Barton ;Alisal Union;-3.0718459075
5926;Deer Canyon ;Alta Loma ;-0.9934823577;John E. Steinbeck ;Alisal Union;-1.0465560844
5927;Hermosa ;Alta Loma ;1.0401120477;Cesar E. Chavez ;Alisal Union;0.3277282764
5928;Victoria Groves ;Alta Loma ;-1.3458699719;Creekside ;Alisal Union;-0.8492150454
5930;Banyan ;Alta Loma ;0.8505387144;Oscar F. Loya ;Alisal Union;-2.1796863641
4921;Alta-Dutch Flat ;Alta-Dutch Flat Union Elementa;-0.1632033509;Oasis Charter Public;Alisal Union;-1.0383591278
7834;Adelante Dual Language Academy;Alum Rock Union ;1.6052916792;Endeavour Academy;Alpine Union ;-3.0055176775
7836;James McEntee Academy;Alum Rock Union ;-2.4954047837;Alpine ;Alpine Union ;-0.2922232996
7843;Donald J. Meyer ;Alum Rock Union ;-0.3919510588;Shadow Hills ;Alpine Union ;-0.4421636304
7847;Linda Vista ;Alum Rock Union ;-1.2521395973;Boulder Oaks ;Alpine Union ;-0.4566693095
7851;Millard McCollam ;Alum Rock Union ;-4.1170526914;Alta Loma ;Alta Loma ;-0.6399646344
3806;Alview ;Alview-Dairyland Union Element;-0.7023289963;Carnelian ;Alta Loma ;-0.8163545442
805;Alvina  Charter;Alvina ;0.7208625899;Jasper ;Alta Loma ;-1.7404291184
5060;Phillip M. Stokoe ;Alvord Unified;-0.9999552488;Floyd M. Stork ;Alta Loma ;-0.104963094
5061;Lake Hills ;Alvord Unified;-1.9534444654;Deer Canyon ;Alta Loma ;-2.3061703935
5065;Allan Orrenmaa ;Alvord Unified;-2.4965327724;Hermosa ;Alta Loma ;2.5754215669
5076;S. Christa McAuliffe ;Alvord Unified;1.4176906108;Victoria Groves ;Alta Loma ;-0.1059363227
5077;Promenade ;Alvord Unified;0.1643700892;Banyan ;Alta Loma ;-1.0624873383
356;Ione ;Amador County Unified;-1.4343989105;Alta-Dutch Flat ;Alta-Dutch Flat Union ;-1.383019958
357;Jackson ;Amador County Unified;0.1224939622;Adelante Dual Language Academy;Alum Rock Union ;-1.1096376444
358;Pine Grove ;Amador County Unified;-0.0154826467;Russo/McEntee Academy;Alum Rock Union ;1.8176597244
