sname;sname;dname;z
5075;Franklin (Benjamin) ;Anaheim City;-0.8308897691
5076;Ross (Betsy) ;Anaheim City;0.2616344375
5077;Barton (Clara) ;Anaheim City;1.636653873
5078;Mann (Horace) ;Anaheim City;-2.0745378647
5079;Guinn (James M.) ;Anaheim City;1.1775205053
5080;Madison (James) ;Anaheim City;1.068196535
5081;Marshall (John) ;Anaheim City;0.0397475951
5082;Loara ;Anaheim City;-0.2396054286
5083;Gauer (Melbourne A.) ;Anaheim City;-1.8539151394
5087;Sunkist ;Anaheim City;0.3722909772
5088;Roosevelt (Theodore) ;Anaheim City;-0.2598828113
5090;Jefferson (Thomas) ;Anaheim City;-0.8714575322
5092;Westmont ;Anaheim City;0.1209706545
10267;Antelope ;Antelope ;1.1907649825
594;Lone Tree ;Antioch Unified;1.5758811199
596;Carmen Dragon ;Antioch Unified;-0.3346825317
598;Orchard Park;Antioch Unified;2.0052401207
599;Antioch Charter Academy II;Antioch Unified;-4.7941539288
606;Belshaw ;Antioch Unified;-0.4744712191
610;Sutter ;Antioch Unified;-1.4997411303
611;Turner ;Antioch Unified;1.2208510952
614;Mission ;Antioch Unified;-1.7313610642
615;Muir (John) ;Antioch Unified;-0.7782908504
616;Jack London ;Antioch Unified;1.2161678972
618;Grant ;Antioch Unified;-1.2950312128
619;Antioch Charter Academy;Antioch Unified;-0.3161238982
620;Diablo Vista ;Antioch Unified;-1.2588502868
7330;Vanguard Preparatory;Apple Valley Unified;-0.4433329041
7331;Sitting Bull Academy;Apple Valley Unified;0.5102622843
7332;Phoenix Academy;Apple Valley Unified;-4.166538362
7336;Academy for Academic Excellence;Apple Valley Unified;-2.708049497
7337;Mariana Academy;Apple Valley Unified;-2.1623261441
7338;Rancho Verde ;Apple Valley Unified;-2.0141375517
7339;Yucca Loma ;Apple Valley Unified;-2.4234997068
7340;Desert Knolls ;Apple Valley Unified;-1.5783451475
7341;Sandia ;Apple Valley Unified;-1.3158507121
7342;Rio Vista ;Apple Valley Unified;0.2451420572
7343;Sycamore Rocks ;Apple Valley Unified;-1.3548744687
2164;Baldwin Stocker ;Arcadia Unified;-0.4271896273
2165;Camino Grove ;Arcadia Unified;0.6410897779
2166;Highland Oaks ;Arcadia Unified;0.3918471874
2167;Holly Avenue ;Arcadia Unified;-2.2029144697
2168;Hugo Reid ;Arcadia Unified;2.1902792128
2169;Longley Way ;Arcadia Unified;-1.310507383
1383;Arcata ;Arcata ;-0.7490783286
1384;Coastal Grove Charter;Arcata ;-6.7820685975
6357;Arcohe ;Arcohe Union ;1.1234255484
4575;Arena ;Arena Union ;-0.4882865179
4576;Pacific Community Charter;Arena Union ;-0.9526514364
6768;San Juan;Aromas/San Juan Unified;-2.5286296704
6769;Aromas;Aromas/San Juan Unified;1.2637974157
1616;El Camino Real ;Arvin Union;-1.1462071474
8523;Monterey Road ;Atascadero Unified;1.010381708
8524;Santa Margarita ;Atascadero Unified;-0.0934478238
8525;Santa Rosa Road Academic Academy;Atascadero Unified;-2.0822895273
8526;San Gabriel ;Atascadero Unified;0.824349105
8527;San Benito ;Atascadero Unified;-3.1543691484
4658;Elmer Wood ;Atwater ;-0.598675383
4659;Mitchell ;Atwater ;0.5151807644
4661;Shaffer ;Atwater ;1.2361158492
4662;Thomas Olaeta ;Atwater ;1.5037717171
4663;Peggy Heller ;Atwater ;-0.0310858614
5696;Alta Vista Community Charter;Auburn Union ;0.8477577154
5699;Skyridge ;Auburn Union ;1.8085316742
5700;Auburn ;Auburn Union ;2.0213366215
2178;Alice M. Ellington ;Azusa Unified;-0.6976184998
2184;Henry Dalton ;Azusa Unified;0.4299695354
2187;Paramount ;Azusa Unified;-0.7194344469
2190;Victor F. Hodge ;Azusa Unified;0.2868572538
2191;W. R. Powell ;Azusa Unified;-0.4900726439
1622;Dr. Douglas K. Fletcher ;Bakersfield City;-0.6991163543
1625;Caroline Harris ;Bakersfield City;-3.0806514643
1629;Colonel Howard Nichols ;Bakersfield City;-0.2762586612
1632;Franklin ;Bakersfield City;1.4915219001
1635;Harding ;Bakersfield City;-0.766144268
1636;Henry Eissler ;Bakersfield City;-1.3792915721
1638;Hort ;Bakersfield City;-2.1415975158
1652;Voorhies ;Bakersfield City;0.7078343873
1659;Dr. Juliet Thorner ;Bakersfield City;1.5144327611
1661;Cesar E. Chavez ;Bakersfield City;1.0099068916
1662;Downtown ;Bakersfield City;-0.4660788125
1663;Bessie E. Owens Intermediate;Bakersfield City;6.1633024247
2198;Charles Bursch ;Baldwin Park Unified;0.2817170065
2199;Central ;Baldwin Park Unified;-2.7663642784
2202;Elwin ;Baldwin Park Unified;-15.6950050585
2203;Foster ;Baldwin Park Unified;-2.6155960648
2204;Ernest R. Geddes ;Baldwin Park Unified;1.5723477345
2205;Kenmore ;Baldwin Park Unified;1.4952193866
2207;Margaret Heath ;Baldwin Park Unified;1.5113562592
2210;Tracy ;Baldwin Park Unified;0.2645241047
2211;Vineland ;Baldwin Park Unified;-0.9420579994
2212;Walnut ;Baldwin Park Unified;0.2306171764
2214;Santa Fe ;Baldwin Park Unified;-1.178418527
4665;Ballico ;Ballico-Cressey ;0.7253695022
5880;Central ;Banning Unified;-1.3790905753
5881;Hemmerling ;Banning Unified;-0.1928767667
8272;River Islands Technology Academy;Banta ;-0.5981067279
8273;Banta ;Banta ;1.2238968767
6810;Cameron ;Barstow Unified;0.8767997095
6812;Henderson ;Barstow Unified;-0.1836984801
6814;Montara ;Barstow Unified;0.2164493637
6815;Skyline North ;Barstow Unified;2.3272387368
4381;Oakhurst ;Bass Lake Joint Union ;-1.0404230733
4382;Wasuma ;Bass Lake Joint Union ;-0.4231440651
2221;Edgewood Academy;Bassett Unified;-1.1319813337
