sname;sname;dname;z
89;John Blacow ;Fremont Unified;-0.4412776057
90;Brier ;Fremont Unified;1.2568980297
91;Cabrillo ;Fremont Unified;-1.4488913238
92;E. M. Grimmer ;Fremont Unified;-0.9455309459
93;Glenmoor ;Fremont Unified;5.0168594128
94;Harvey Green ;Fremont Unified;0.1580983767
95;J. Haley Durham ;Fremont Unified;1.4632667852
97;Joseph Azevada ;Fremont Unified;2.6891157216
98;Tom Maloney ;Fremont Unified;1.2468164216
99;John G. Mattos ;Fremont Unified;3.7752339689
100;Mission Valley ;Fremont Unified;1.2179836692
101;Niles ;Fremont Unified;1.2707064612
102;O. N. Hirsch ;Fremont Unified;1.4238186895
103;Parkmont ;Fremont Unified;3.5178944611
104;Patterson ;Fremont Unified;0.9079141349
105;Vallejo Mill ;Fremont Unified;1.6821300032
106;Warm Springs ;Fremont Unified;0.6041662234
113;Brookvale ;Fremont Unified;2.2750395569
114;Warwick ;Fremont Unified;4.888558365
115;Joshua Chadbourne ;Fremont Unified;4.9247373407
117;Oliveira ;Fremont Unified;3.5261592243
118;Steven Millard ;Fremont Unified;-0.314626588
119;Ardenwood ;Fremont Unified;1.2984219679
120;Fred E. Weibel ;Fremont Unified;4.253166192
121;Forest Park ;Fremont Unified;2.9907112598
1410;Freshwater ;Freshwater ;-1.0197723917
967;Edison-Bethune Charter Academy;Fresno County Office of Education;-1.7149841631
1046;Valley Preparatory Academy Charter;Fresno Unified;-1.1267785869
1048;Akira Yokomi ;Fresno Unified;2.0008340435
1055;Vang Pao ;Fresno Unified;-4.140512542
1057;Morris E. Dailey Charter ;Fresno Unified;0.6859022438
1058;Kepler Neighborhood;Fresno Unified;-0.2143241788
1078;Bullard Talent Project;Fresno Unified;1.2741474765
1081;Centennial ;Fresno Unified;-1.5218336671
1084;Easterby ;Fresno Unified;-2.9803633611
1086;Ewing ;Fresno Unified;-3.5429273319
1087;Figarden ;Fresno Unified;-2.9034253511
1089;Gibson ;Fresno Unified;-0.1380611199
1091;Holland ;Fresno Unified;-1.5454504869
1096;Kratt ;Fresno Unified;-0.316752623
1100;Malloch ;Fresno Unified;-0.8329673449
1104;Powers-Ginsburg ;Fresno Unified;-1.4833273778
1107;Roeding ;Fresno Unified;-2.0816801833
1110;Thomas ;Fresno Unified;-1.4690960901
1113;Vinland ;Fresno Unified;-4.7170483546
1115;Wilson ;Fresno Unified;-0.9030997001
1128;Eaton ;Fresno Unified;-0.3601408347
1129;McCardle ;Fresno Unified;0.5498061456
1130;Slater ;Fresno Unified;-0.9515225379
1133;Starr ;Fresno Unified;-1.2076534341
1134;Sunset ;Fresno Unified;-2.8451200459
1136;Forkner ;Fresno Unified;0.6906834455
1137;Lawless ;Fresno Unified;-3.0294231303
1138;Manchester Gate;Fresno Unified;-5.3622175602
1143;Edith B. Storey ;Fresno Unified;-5.1852553533
1144;Ann B. Leavenworth;Fresno Unified;2.4172809995
1149;Hamilton ;Fresno Unified;-2.0125665853
1732;Quailwood ;Fruitvale ;-0.2264463619
1734;Discovery ;Fruitvale ;0.6028757864
1735;Columbia ;Fruitvale ;0.9404946114
1736;Endeavour ;Fruitvale ;-0.8758696828
5225;Robert C. Fisler ;Fullerton ;0.1178803082
5226;Acacia ;Fullerton ;-0.4763181936
5227;Beechwood ;Fullerton ;1.9654717541
5228;Commonwealth ;Fullerton ;0.3349321372
5229;Fern Drive ;Fullerton ;0.6674494556
5230;Golden Hill ;Fullerton ;0.7494829873
5231;Hermosa Drive ;Fullerton ;4.0275484681
5233;Laguna Road ;Fullerton ;-0.434089833
5235;Orangethorpe ;Fullerton ;-0.3324338347
5236;Pacific Drive ;Fullerton ;0.6145100187
5237;Raymond ;Fullerton ;0.6766385107
5238;Richman ;Fullerton ;-0.9314569043
5239;Rolling Hills ;Fullerton ;1.8624498637
5240;Sunset Lane ;Fullerton ;-0.5392094705
5241;Valencia Park ;Fullerton ;-0.9762623473
5242;Woodcrest ;Fullerton ;-0.3861661269
5244;Maple ;Fullerton ;-2.4818160303
6464;Lake Canyon ;Galt Joint Union ;0.28339536
6465;Vernon E. Greer ;Galt Joint Union ;0.1533793034
6466;Valley Oaks ;Galt Joint Union ;-0.1603662774
6467;River Oaks ;Galt Joint Union ;2.94198308
6468;Marengo Ranch ;Galt Joint Union ;1.8144745565
5264;A. J. Cook ;Garden Grove Unified;0.3437490736
5265;Agnes Ware Stanley ;Garden Grove Unified;-0.2411719584
5267;Brookhurst ;Garden Grove Unified;0.7245629701
5268;Bryant ;Garden Grove Unified;0.3232866063
5269;C. C. Violette ;Garden Grove Unified;-1.271015864
5270;Clinton ;Garden Grove Unified;0.7010346697
5272;Dwight D. Eisenhower ;Garden Grove Unified;0.1835751612
5273;Earl Warren ;Garden Grove Unified;-0.6597146381
5275;Ernest O. Lawrence ;Garden Grove Unified;-0.3269732402
5276;Ethan B. Allen ;Garden Grove Unified;-8.0865501798
5277;Ethel M. Evans ;Garden Grove Unified;0.2462046141
5278;Excelsior ;Garden Grove Unified;-0.949274166
5279;Faylane ;Garden Grove Unified;0.2340295315
5280;Garden Park ;Garden Grove Unified;-0.78202571
5281;Genevieve M. Crosby ;Garden Grove Unified;-0.2299092939
5282;Patton ;Garden Grove Unified;-5.1146810031
5283;Gilbert ;Garden Grove Unified;1.8643133493
5288;Enders ;Garden Grove Unified;-0.8949944352
5289;John Marshall ;Garden Grove Unified;1.1859571453
5290;John Murdy ;Garden Grove Unified;-1.1070930486
5292;Leo Carrillo ;Garden Grove Unified;0.4382576092
5295;Louis G. Zeyen ;Garden Grove Unified;-0.4438751906
5296;Loyal Barker ;Garden Grove Unified;-1.7418507716
5299;Merton E. Hill ;Garden Grove Unified;-2.4488957983
5300;Mitchell ;Garden Grove Unified;1.2610927032
5301;Morningside ;Garden Grove Unified;0.4722886269
5302;Newhope ;Garden Grove Unified;-0.6868657303
5303;Ocia A. Peters ;Garden Grove Unified;6.8568002535
5304;Parkview ;Garden Grove Unified;-0.7837288771
5305;Post ;Garden Grove Unified;0.5566539847
5307;Riverdale ;Garden Grove Unified;0.9318059663
5308;Rosita ;Garden Grove Unified;0.5503058739
5310;Stanford ;Garden Grove Unified;-0.0700415599
5312;Sunnyside ;Garden Grove Unified;1.4620749005
5313;Susan B. Anthony ;Garden Grove Unified;-1.1190448825
5314;Thomas Paine ;Garden Grove Unified;1.8943063246
5317;Mamie L. Northcutt ;Garden Grove Unified;1.6208455846
2446;Dewey Avenue ;Garvey ;-3.6866937391
2447;Rice (Eldridge) ;Garvey ;-2.2598488445
2448;Sanchez (George I.) ;Garvey ;1.5383481729
2449;Willard (Frances E.) ;Garvey ;-1.388759567
2450;Hillcrest ;Garvey ;0.5193317182
2451;Monterey Vista ;Garvey ;-0.6870543277
2452;Emerson (Ralph Waldo) ;Garvey ;-0.0877122354
2455;Bitely (Arlene) ;Garvey ;-0.9493684525
9579;Shasta Lake;Gateway Unified;-0.7444720809
9580;Rocky Point Charter;Gateway Unified;-1.9932825186
9581;Redding School of the Arts II;Gateway Unified;0.239309027
9588;Buckeye School of the Arts;Gateway Unified;-1.481360298
9590;North Woods Discovery;Gateway Unified;-0.5162534979
1738;General Shafter ;General Shafter ;-1.7312211271
10294;Gerber ;Gerber Union ;-1.713102411
9136;Gilroy Prep School (Navigators School);Gilroy Unified;0.2133641178
9139;Luigi Aprea ;Gilroy Unified;3.3832794254
9140;El Roble ;Gilroy Unified;1.1761360612
9142;Glen View ;Gilroy Unified;0.5988995551
9143;Las Animas ;Gilroy Unified;-1.1617230057
9144;Rucker ;Gilroy Unified;2.8335142403
9146;Rod Kelley ;Gilroy Unified;-1.5944421672
9148;Antonio Del Buono ;Gilroy Unified;-0.6839475578
2464;Balboa ;Glendale Unified;-2.4225663508
2465;Cerritos ;Glendale Unified;-0.4965465535
2466;Columbus ;Glendale Unified;-2.8473769228
2467;Dunsmore ;Glendale Unified;0.3150316509
2468;Thomas Edison ;Glendale Unified;0.1905279583
2469;Benjamin Franklin ;Glendale Unified;-0.0316773803
2470;John C. Fremont ;Glendale Unified;0.154153592
2471;Glenoaks ;Glendale Unified;-0.8324208668
2472;Thomas Jefferson ;Glendale Unified;0.5568858418
2473;Mark Keppel ;Glendale Unified;0.4218238086
2474;La Crescenta ;Glendale Unified;0.0103101674
2475;Abraham Lincoln ;Glendale Unified;0.1677327118
2476;Horace Mann ;Glendale Unified;-2.344858523
2477;John Marshall ;Glendale Unified;-1.8477285278
2478;Monte Vista ;Glendale Unified;-1.6660887073
2479;Mountain Avenue ;Glendale Unified;2.0311925322
2480;John Muir ;Glendale Unified;-2.6247413115
2481;Valley View ;Glendale Unified;1.6425396302
2482;Verdugo Woodlands ;Glendale Unified;1.0275816449
2483;R. D. White ;Glendale Unified;-1.4216168104
2492;Cullen ;Glendora Unified;-0.0694026991
2493;La Fetra ;Glendora Unified;2.1957187688
2494;Sellers ;Glendora Unified;1.3104757443
2495;Stanton ;Glendora Unified;1.580617216
2496;Sutherland ;Glendora Unified;0.6777576672
1334;Walden Academy;Glenn County Office of Education;0.7296131493
908;Gold Oak ;Gold Oak Union ;-0.7147822193
912;Sutters Mill;Gold Trail Union ;0.2183204992
1305;San Joaquin ;Golden Plains Unified;-1.7449001579
4432;Webster ;Golden Valley Unified;0.4197373633
4433;Sierra View ;Golden Valley Unified;-2.1812495831
8849;El Camino ;Goleta Union ;0.5373603739
8850;Ellwood ;Goleta Union ;1.6345886021
8851;Foothill ;Goleta Union ;1.0310919173
8852;Hollister ;Goleta Union ;2.3417980137
8853;Isla Vista ;Goleta Union ;4.9497242045
8854;Kellogg ;Goleta Union ;3.9475134976
8855;La Patera ;Goleta Union ;1.0445973655
8857;Brandon ;Goleta Union ;1.6972352117
4961;La Gloria ;Gonzales Unified;-1.5120324198
2500;Gorman Learning Center;Gorman ;-2.0003326352
2501;Gorman ;Gorman ;-1.7294296315
9526;Grant ;Grant ;0.5126018797
5032;Margaret G. Scotten ;Grass Valley ;0.5658937549
5033;Grass Valley Charter;Grass Valley ;-1.5839077
9873;Gravenstein ;Gravenstein Union ;2.9588724303
1740;Valle Verde ;Greenfield Union;0.0013155937
1742;Horizon ;Greenfield Union;-1.0329277816
1743;Granite Pointe ;Greenfield Union;-1.2681427631
1747;Plantation ;Greenfield Union;-1.2554130522
1748;Planz ;Greenfield Union;-2.5649620331
1749;W. A. Kendrick ;Greenfield Union;0.9337450967
1750;Raffaello Palla ;Greenfield Union;-2.454428149
4843;Mary Chapa Academy;Greenfield Union ;-1.2506360426
4844;Oak Avenue ;Greenfield Union ;-3.623095828
4845;Cesar Chavez ;Greenfield Union ;-1.1705655943
9618;Grenada ;Grenada ;-0.4423231054
527;Wilson ;Gridley Unified;-0.5989517678
8859;Mary Buren ;Guadalupe Union ;-3.0584370329
9876;Guerneville ;Guerneville ;0.356469918
4751;Gustine ;Gustine Unified;-0.9464667722
4752;Romero ;Gustine Unified;-1.0009911511
4211;Cedarlane Academy;Hacienda la Puente Unified;0.9761538159
4220;Baldwin Academy;Hacienda la Puente Unified;0.1839298633
4224;Fairgrove Academy;Hacienda la Puente Unified;0.0875201492
4225;Grazide ;Hacienda la Puente Unified;1.834266394
4228;Los Altos ;Hacienda la Puente Unified;-1.4380797522
4229;Los Molinos ;Hacienda la Puente Unified;-1.1682316918
4230;Los Robles Academy;Hacienda la Puente Unified;1.8421124403
4231;Mesa Robles;Hacienda la Puente Unified;1.6646254232
4242;Grandview, College Preparatory Academy;Hacienda la Puente Unified;0.2720880515
4244;Wedgeworth ;Hacienda la Puente Unified;-0.9296109632
4245;Valinda School of Academics;Hacienda la Puente Unified;-1.7031358171
1942;Hamilton ;Hanford ;0.6238172387
1943;Jefferson Charter Academy;Hanford ;-0.6998455145
1944;Lee Richmond ;Hanford ;-1.4444217082
1946;Monroe ;Hanford ;0.0987529112
1949;George Washington ;Hanford ;-0.5149227972
1951;Martin Luther King Jr. ;Hanford ;-2.0051778071
1953;Joseph M. Simas;Hanford ;-1.662050757
9530;Happy Valley Primary;Happy Valley Union ;0.4407550026
9879;Salmon Creek School - A Charter;Harmony Union ;-0.7343525282
9880;Pathways Charter;Harmony Union ;-1.1710039673
10052;Hart-Ransom ;Hart-Ransom Union ;-0.475406564
10053;Hart-Ransom Academic Charter;Hart-Ransom Union ;-0.366441177
2504;Eucalyptus;Hawthorne;-2.9092441626
2506;Jefferson;Hawthorne;-2.9779821443
2507;Ramona;Hawthorne;-0.7084133885
2508;Washington;Hawthorne;-2.0252697042
2509;York;Hawthorne;-0.2872580421
2511;Zela Davis;Hawthorne;-1.367795844
2513;Kornblum;Hawthorne;-0.4652689409
124;Stonebrae ;Hayward Unified;0.7437063653
126;Golden Oak Montessori of Hayward;Hayward Unified;-2.1892925821
127;Knowledge Enlightens You (KEY) Academy;Hayward Unified;-0.9264823854
134;Bowman ;Hayward Unified;-2.345154236
135;Burbank ;Hayward Unified;-0.3175533056
136;Cherryland ;Hayward Unified;-0.9986810134
137;East Avenue ;Hayward Unified;0.6268791036
138;Eldridge ;Hayward Unified;-2.2418538515
139;Fairview ;Hayward Unified;-4.7520531149
140;Glassbrook ;Hayward Unified;-0.3823200111
141;Harder ;Hayward Unified;-1.4522765484
142;Longwood ;Hayward Unified;-1.7174765628
143;Lorin A. Eden ;Hayward Unified;-0.1030862326
144;Palma Ceia ;Hayward Unified;-1.8180668326
145;Park ;Hayward Unified;-3.2920082956
146;Ruus ;Hayward Unified;-3.1052140833
147;Schafer Park ;Hayward Unified;-4.3923311112
148;Southgate ;Hayward Unified;-0.6701058737
149;Treeview ;Hayward Unified;-0.0369607975
154;Strobridge ;Hayward Unified;-2.146182646
156;Eden Gardens ;Hayward Unified;-1.4283148059
157;Tyrrell ;Hayward Unified;-5.618111879
158;Faith Ringgold School of Arts and Science;Hayward Unified;-3.0241867571
9993;Healdsburg Charter;Healdsburg Unified;-1.2075085566
9996;Healdsburg ;Healdsburg Unified;0.465703961
1544;Heber ;Heber ;-2.0180710678
6978;Empire Springs Charter;Helendale ;-2.9066374642
6981;Helendale ;Helendale ;1.202726049
5986;McSweeny ;Hemet Unified;-0.1947196114
5987;Harmony ;Hemet Unified;0.0766198898
5988;Cawston ;Hemet Unified;0.6202248162
5991;Hamilton ;Hemet Unified;-1.9195767607
5992;Family Tree Learning Center;Hemet Unified;-2.0370277753
6001;Cottonwood ;Hemet Unified;0.1831562692
6002;Idyllwild;Hemet Unified;-1.4407026369
6003;Little Lake ;Hemet Unified;-1.5703851333
6004;Ramona ;Hemet Unified;-0.4534944449
6005;Whittier ;Hemet Unified;-2.2202676075
6006;Winchester ;Hemet Unified;-1.8269198966
6008;Valle Vista ;Hemet Unified;2.2559077219
6009;Fruitvale ;Hemet Unified;-0.9059113549
6010;Bautista Creek ;Hemet Unified;-0.20932952
6012;Jacob Wiens ;Hemet Unified;-1.9037593595
2516;Hermosa Valley ;Hermosa Beach City ;2.3569870452
7278;Cypress School of the Arts;Hesperia Unified;0.1161100443
7279;Pathways to College;Hesperia Unified;-2.7829168132
7280;Mission Crest ;Hesperia Unified;-1.1505770239
7285;LaVerne  Preparatory Academy;Hesperia Unified;-4.2587935948
7286;Krystal School of Science, Math & Technology;Hesperia Unified;0.5904349107
7293;Joshua Circle ;Hesperia Unified;-0.5797397906
7294;Juniper ;Hesperia Unified;-1.793124335
7295;Eucalyptus ;Hesperia Unified;-0.4346001271
7297;Mesa Grande ;Hesperia Unified;-0.03754736
7298;Kingston ;Hesperia Unified;-2.2468916759
7299;Maple ;Hesperia Unified;-1.8371987756
7300;Cottonwood ;Hesperia Unified;-0.1546346497
7301;Lime Street ;Hesperia Unified;-2.4764889851
7302;Hollyvale ;Hesperia Unified;-1.9403786904
7303;Carmel ;Hesperia Unified;-1.3048853362
7305;Topaz Preparatory Academy;Hesperia Unified;-1.1867868147
7306;Mesquite Trails ;Hesperia Unified;-2.6151418688
10055;Hickman ;Hickman Community Charter;1.0145104098
10056;Hickman Charter;Hickman Community Charter;1.7772673856
4673;Elim ;Hilmar Unified;0.5151040842
6740;Hollister Dual Language Academy;Hollister;-0.5683759672
6743;Ladd Lane ;Hollister;0.3549296881
6744;R. O. Hardin ;Hollister;-0.6623666834
6745;Sunnyslope ;Hollister;-0.9260642807
6747;Calaveras ;Hollister;-2.031654339
6748;Cerra Vista ;Hollister;-0.988867588
6750;Gabilan Hills;Hollister;-0.5604617816
1549;Emmett S. Finley ;Holtville Unified;0.6809027132
1551;Pine ;Holtville Unified;0.4004714391
8862;Hope ;Hope ;5.3937849732
8863;Monte Vista ;Hope ;3.9680529867
8864;Vieja Valley ;Hope ;5.2183345602
10400;Hope ;Hope ;-0.9887227005
4970;Howell Mountain ;Howell Mountain ;1.717774819
10648;Ansgar Larsen ;Hueneme ;-2.9850846704
10652;Fred L. Williams ;Hueneme ;-0.8541686686
10653;Hollywood Beach ;Hueneme ;1.2129881386
10654;Hueneme ;Hueneme ;1.8857735813
10655;Julien Hathaway ;Hueneme ;-0.4185490683
10656;Parkview ;Hueneme ;-1.6070891562
10657;Richard Bard ;Hueneme ;0.1110227973
10658;Sunkist ;Hueneme ;-3.7838769417
2518;Hughes-Elizabeth Lakes;Hughes-Elizabeth Lakes Union ;-0.3071597555
10161;Fox Road ;Hughson Unified;0.1120154049
10165;Hughson ;Hughson Unified;-1.2980771072
5320;Agnes L. Smith ;Huntington Beach City ;0.3614947822
5322;John H. Eader ;Huntington Beach City ;0.092003443
5323;John R. Peterson ;Huntington Beach City ;2.8262909995
5324;Joseph R. Perry ;Huntington Beach City ;-0.1509455223
5326;Ralph E. Hawes ;Huntington Beach City ;-2.5873064678
5327;S. A. Moffett ;Huntington Beach City ;0.5064348219
5328;Huntington Seacliff ;Huntington Beach City ;-0.3392608659
1417;Hydesville ;Hydesville ;-0.639922252
1555;Ben Hulse ;Imperial Unified;-1.4712715923
1557;T. L. Waggoner ;Imperial Unified;-0.150610219
2520;Wilder's Preparatory Academy Charter;Inglewood Unified;-1.9535184643
2523;ICEF Inglewood  Charter Academy;Inglewood Unified;-0.4265481401
2533;Worthington ;Inglewood Unified;-1.7586129454
2534;Centinela ;Inglewood Unified;-1.5518937103
2535;Highland ;Inglewood Unified;-3.3197777373
2536;Kelso (William H.) ;Inglewood Unified;-3.2658174966
2537;La Tijera K-8 Academy of Excellence;Inglewood Unified;-3.9657369705
2538;Lane (Warren) ;Inglewood Unified;-4.8391546627
2539;Oak Street ;Inglewood Unified;-4.4310822363
2540;Parent (Frank D.) ;Inglewood Unified;-8.6339889385
2541;Payne (Beulah) ;Inglewood Unified;-5.6799186711
5637;Cypress Village ;Irvine Unified;-0.3159089385
5645;University Park ;Irvine Unified;-1.3788907505
5646;Turtle Rock ;Irvine Unified;1.0446845915
5648;Woodbury ;Irvine Unified;0.2858852379
5649;Culverdale ;Irvine Unified;-0.667222512
5650;College Park ;Irvine Unified;1.9244973124
5651;Greentree ;Irvine Unified;0.2744810697
5652;Vista Verde;Irvine Unified;2.5784476631
5654;Deerfield ;Irvine Unified;3.8001463474
5655;Stonegate ;Irvine Unified;-1.3900472811
5656;Stone Creek ;Irvine Unified;2.0830797592
5659;Santiago Hills ;Irvine Unified;1.2389067845
5660;Eastshore ;Irvine Unified;2.3152226498
5661;Alderwood ;Irvine Unified;1.5668063457
5662;Northwood ;Irvine Unified;2.731448687
5664;Brywood ;Irvine Unified;4.6033945743
5665;Meadow Park ;Irvine Unified;2.1170863141
5666;Springbrook ;Irvine Unified;1.1517867025
5667;Westpark ;Irvine Unified;0.4305168919
5669;Canyon View ;Irvine Unified;-0.5555601217
5670;Plaza Vista;Irvine Unified;-0.0504671043
5671;Oak Creek ;Irvine Unified;1.3987044574
1961;Island ;Island Union ;2.4781040549
1419;Jacoby Creek;Jacoby Creek ;-1.7981030015
10600;Jamestown ;Jamestown ;-1.9549787376
7551;Jamul Primary;Jamul-Dulzura Union ;0.3055977263
7553;Jamul Intermediate;Jamul-Dulzura Union ;-1.089217961
7554;Greater San Diego Academy;Jamul-Dulzura Union ;0.343108629
2048;Janesville ;Janesville Union ;-1.171168474
8284;Anthony C. Traina ;Jefferson ;-0.7036605437
8286;Monticello ;Jefferson ;-1.1494297426
8287;Tom Hawkins ;Jefferson ;2.4910218276
8650;Daniel Webster ;Jefferson ;0.1143379733
8652;Franklin Delano Roosevelt ;Jefferson ;0.056693433
8653;Garden Village ;Jefferson ;-0.0607980595
8654;George Washington ;Jefferson ;-0.0107199989
8655;John F. Kennedy ;Jefferson ;0.5100202917
8656;Margaret Pauline Brown ;Jefferson ;-2.1901484841
8657;Thomas Edison ;Jefferson ;1.7485835498
8658;Marjorie H. Tobias ;Jefferson ;2.0822156069
8659;Westlake ;Jefferson ;-0.1198142149
8660;Woodrow Wilson ;Jefferson ;0.3069428268
8661;Susan B. Anthony ;Jefferson ;0.6129031545
644;Rodeo Hills ;John Swett Unified;-0.6614326589
2050;Johnstonville ;Johnstonville ;0.1832907646
7557;Harbor Springs Charter;Julian Union ;-5.1058222181
7558;Beacon Classical Academy  Charter;Julian Union ;-0.0366247171
7559;Julian Charter;Julian Union ;-3.9505592571
7560;Julian ;Julian Union ;-0.0667742612
9537;Junction ;Junction ;0.006191473
6020;Glen Avon ;Jurupa Unified;1.970487499
6023;Pacific Avenue ;Jurupa Unified;-0.4308131618
6024;Pedley ;Jurupa Unified;0.5588497146
6026;Troth Street ;Jurupa Unified;-3.4297471965
6027;Van Buren ;Jurupa Unified;-1.3696616317
6031;Sky Country ;Jurupa Unified;-2.5415209244
6032;Indian Hills ;Jurupa Unified;-0.3479271203
6033;Camino Real ;Jurupa Unified;-1.2815147387
6034;Sunnyslope ;Jurupa Unified;-0.692886571
6035;Granite Hill ;Jurupa Unified;-1.0592407592
6036;Stone Avenue ;Jurupa Unified;0.488361745
6038;Peralta ;Jurupa Unified;0.0580686208
2004;Kelseyville ;Kelseyville Unified;0.1693849997
2006;Riviera ;Kelseyville Unified;0.3866094907
2549;Alpine ;Keppel Union ;-1.7336010387
2550;Antelope ;Keppel Union ;-1.5445497385
2551;Lake Los Angeles ;Keppel Union ;-2.2544150743
2552;Daisy Gibson ;Keppel Union ;-0.2712390013
2553;Pearblossom ;Keppel Union ;1.0315129763
1285;Goldenrod ;Kerman Unified;-0.5594218419
1290;Sun Empire ;Kerman Unified;3.5735031142
1291;Liberty ;Kerman Unified;1.9597353806
1610;Grimmway Academy;Kern County Office of Education;-1.3569740745
1613;Valley Oaks Charter;Kern County Office of Education;-4.1006199516
1614;Kern County Special Education;Kern County Office of Education;-8.1719108771
1781;Woodrow W. Wallace ;Kernville Union ;-0.061693452
10060;Keyes to Learning Charter;Keyes Union;0.8629037372
4848;King City Arts Magnet;King City Union;-0.8766519302
4851;Del Rey ;King City Union;-0.1230293643
1165;Thomas Law Reed ;Kings Canyon Joint Unified;0.4495423747
1168;Silas Bartsch;Kings Canyon Joint Unified;-0.1644869595
1175;Dunlap ;Kings Canyon Joint Unified;-1.1920424728
1181;Riverview ;Kings Canyon Joint Unified;0.0251969545
1183;Washington ;Kings Canyon Joint Unified;1.9212337146
1184;Great Western ;Kings Canyon Joint Unified;-0.1116909151
10404;Kings River ;Kings River Union ;0.0988282824
1963;Kings River-Hardwick ;Kings River-Hardwick Union ;0.7706297201
1152;Ronald W. Reagan ;Kingsburg  Charter;3.2813872359
1154;Lincoln ;Kingsburg  Charter;1.1274186586
1158;Kingsburg Community Charter Extension;Kingsburg  Charter;-1.1374179807
10297;Kirkwood ;Kirkwood ;-1.1250376131
1965;Kit Carson ;Kit Carson Union ;-0.8205752383
1425;Hoopa Valley ;Klamath-Trinity Joint Unified;-4.8282286492
10063;Knights Ferry ;Knights Ferry ;-0.4784252228
646;Knightsen ;Knightsen ;1.5936873022
2012;Burns Valley;Konocti Unified;-0.0464890536
2015;Lower Lake ;Konocti Unified;-0.9768019902
2016;Pomo;Konocti Unified;-2.7003025
5349;Las Positas ;La Habra City ;-0.0814195139
5350;Sierra Vista ;La Habra City ;-0.2973730595
5351;Walnut ;La Habra City ;-0.3375715281
8680;Pescadero  and Middle;La Honda-Pescadero Unified;1.3352301122
7580;Avondale ;La Mesa-Spring Valley;0.7343906599
7581;Bancroft ;La Mesa-Spring Valley;0.1869948519
7582;Casa de Oro ;La Mesa-Spring Valley;0.0453010926
7583;Fletcher Hills ;La Mesa-Spring Valley;1.507525
7584;Highlands ;La Mesa-Spring Valley;-0.3810127253
7586;La Mesa Dale ;La Mesa-Spring Valley;-2.216150739
7588;La Presa ;La Mesa-Spring Valley;0.6974458711
7589;Lemon Avenue ;La Mesa-Spring Valley;0.8100793278
7590;Maryland Avenue ;La Mesa-Spring Valley;-0.7793966327
7591;Murray Manor ;La Mesa-Spring Valley;0.6363277162
7592;Northmont ;La Mesa-Spring Valley;-1.1806399139
7594;Rancho ;La Mesa-Spring Valley;-1.1850309284
7595;Rolando ;La Mesa-Spring Valley;0.5725236045
7598;Murdock ;La Mesa-Spring Valley;0.9420879688
7599;Loma ;La Mesa-Spring Valley;0.0123366882
7600;Sweetwater Springs ;La Mesa-Spring Valley;0.1831735879
5340;El Morro ;Laguna Beach Unified;1.9277431133
5342;Top of the World ;Laguna Beach Unified;-0.2614314028
1343;Lake ;Lake ;2.1800850554
6248;Ronald Reagan ;Lake Elsinore Unified;-1.8102935659
6249;Earl Warren ;Lake Elsinore Unified;-0.0070230136
6251;Sycamore Academy of Science and Cultural Arts;Lake Elsinore Unified;-1.6831796095
6252;Lakeland Village;Lake Elsinore Unified;-3.3524262216
6258;Machado ;Lake Elsinore Unified;-0.3927261693
6259;Wildomar ;Lake Elsinore Unified;-1.6481817332
6262;Railroad Canyon ;Lake Elsinore Unified;1.2416151572
6263;Withrow ;Lake Elsinore Unified;-0.216862962
6264;Luiseno;Lake Elsinore Unified;-1.7844461488
6265;Tuscany Hills ;Lake Elsinore Unified;-1.4866285454
6266;Donald Graham ;Lake Elsinore Unified;0.1604660631
6268;William Collier ;Lake Elsinore Unified;-1.2684857405
6269;Rice Canyon ;Lake Elsinore Unified;-2.4939169145
6270;Cottonwood Canyon ;Lake Elsinore Unified;-0.4342528991
916;Lake Tahoe Environmental Science Magnet;Lake Tahoe Unified;-0.2345941142
920;Bijou Community;Lake Tahoe Unified;6.8674205836
922;Tahoe Valley ;Lake Tahoe Unified;-0.9209294376
923;Sierra House ;Lake Tahoe Unified;1.8143182379
2022;Lakeport ;Lakeport Unified;1.2273796889
1783;Lakeside;Lakeside Union;-0.2685463117
1784;Donald E. Suburu;Lakeside Union;-0.7142590537
7566;National University Academy;Lakeside Union ;-1.5651142982
7569;Lakeside Farms ;Lakeside Union ;-0.567173222
7571;Lakeview ;Lakeside Union ;-1.1322128392
7572;Lindo Park ;Lakeside Union ;-2.1641283327
7573;Riverview ;Lakeside Union ;-0.5448893697
7576;Lemon Crest ;Lakeside Union ;-0.7786143581
7577;Barona Indian Charter;Lakeside Union ;-2.5547452886
8505;Wicklund ;Lammersville Joint Unified;0.9445389657
8506;Bethany ;Lammersville Joint Unified;1.2288257843
8507;Sebastian Questa ;Lammersville Joint Unified;-0.5313135761
8509;Altamont ;Lammersville Joint Unified;-0.2507407778
8510;Lammersville ;Lammersville Joint Unified;-0.1433195717
1786;Alicante Avenue ;Lamont ;-0.4603928947
2561;John and Jacquelyn Miller ;Lancaster ;-0.6959180929
2563;Discovery;Lancaster ;-1.5012880509
2564;iLEAD Lancaster Charter;Lancaster ;-4.0729602824
2566;Desert View ;Lancaster ;-1.3757536708
2567;El Dorado ;Lancaster ;-3.6027222803
2568;Joshua ;Lancaster ;-4.7312593748
2570;Mariposa ;Lancaster ;-2.8464905173
2571;Monte Vista ;Lancaster ;-0.8577341591
2573;Sierra ;Lancaster ;-4.0880907956
